,id,calories
35685,317554,29.8
11083,483746,96.9
57414,310336,83.9
42954,370261,85.5
1186,524790,45.2
13445,359248,56.0
48408,472111,56.0
53987,410856,90.3
4909,275821,80.4
24408,397448,45.4
68771,319866,84.9
47048,357251,56.0
78096,299137,54.8
19448,515466,39.4
40218,306110,28.1
37748,510731,30.8
11957,412087,47.3
80165,336161,53.1
51079,391095,38.2
28118,360032,74.5
35327,456941,56.4
45325,309761,96.0
41617,292575,72.2
59276,295432,73.7
48019,470558,62.7
37509,358337,40.4
20174,457896,92.6
13721,466256,24.2
66500,401051,25.4
21720,432143,86.0
60172,383826,76.4
74111,318945,55.6
46319,285585,0.0
43586,277819,92.9
57226,342066,94.2
70296,323475,85.9
61050,291777,65.2
72299,516562,45.8
73129,474145,20.7
33884,360404,94.0
24041,391727,64.2
80626,410081,24.7
24200,372790,52.2
61980,389443,4.4
74056,365945,48.4
13814,293625,79.3
28551,346262,67.9
64047,431722,38.4
19970,407002,83.3
71642,326760,37.3
3655,279186,92.8
22494,359486,52.7
12619,346619,28.1
67756,504462,53.3
69548,370796,90.1
27829,321296,77.0
37291,301357,96.0
892,276576,74.4
48857,501322,49.1
29761,307469,87.5
9195,283085,88.8
31740,298246,47.6
1404,428340,99.6
68787,363773,84.0
36995,438489,82.8
33307,403402,41.7
65103,369525,47.3
12529,306252,96.5
44542,322606,61.9
53502,305659,94.6
2945,324359,39.5
75565,472698,88.7
61944,325318,45.7
18345,391092,46.9
61082,295922,15.7
70567,344072,30.4
54686,373423,90.2
17167,360106,91.8
55797,391538,80.2
26570,282335,56.4
29306,380136,85.4
35990,397737,6.2
24167,329923,52.5
7233,324045,42.6
62962,319344,59.3
31354,375776,51.0
63197,336427,87.4
35902,371867,72.6
63947,370812,45.9
83009,456229,35.2
71482,456656,49.4
67232,312216,71.9
33237,475918,99.2
46652,303964,33.5
55190,386208,73.2
26650,358818,70.1
1360,295701,1.2
12789,312986,98.3
41012,297126,49.8
42795,422408,85.7
79718,315834,54.9
31539,340330,65.4
54720,428713,20.4
77225,309892,39.8
70088,476858,7.9
42451,376653,85.4
370,392368,42.6
39401,431477,72.8
10966,335065,35.8
45621,374274,85.3
80770,345815,53.4
57912,330530,43.5
71587,278218,99.3
1872,377259,84.5
3740,278292,97.7
78133,436796,95.4
47264,430656,51.6
19795,416360,6.4
60471,363254,97.9
53509,307319,58.7
11545,276622,75.1
24814,366458,95.6
31042,364364,98.3
10495,291133,92.4
63739,372476,91.5
56025,337005,1.1
56603,424018,27.4
21678,291458,64.5
77570,372760,48.8
51696,314187,20.5
67825,336579,86.5
43731,467791,85.2
26670,454021,85.7
83688,320754,46.1
12630,304738,90.0
43151,327145,57.6
82850,314398,0.0
55457,389913,99.5
67711,398774,91.2
74928,356007,92.1
67144,338085,96.2
62705,471817,15.9
19760,277436,21.1
35344,281907,88.1
7384,333737,87.7
19820,418546,25.3
9187,381642,28.3
30329,390660,5.4
33051,512688,97.3
8809,337325,28.1
14263,364069,46.1
38713,334096,52.9
16608,353925,74.1
62739,491912,88.7
3487,516981,63.4
24231,313602,65.2
43321,292953,70.0
57033,387924,74.3
41388,468926,71.5
81205,283567,53.2
20979,451461,26.6
77678,484110,86.6
54335,496100,43.3
6614,439791,90.7
14955,435991,86.0
44769,366816,37.4
25561,452817,27.3
15416,515020,81.1
327,412073,69.1
61622,423361,54.7
3779,455269,59.9
38747,317323,92.7
19577,486905,35.6
24312,492719,22.4
66283,318583,87.8
11439,487606,68.2
60296,289053,28.1
53787,277395,93.3
6941,356538,41.9
35882,357091,80.5
8031,449400,87.3
58204,460111,45.0
36863,385767,29.2
21211,371885,94.8
68473,321527,91.7
41596,390961,29.8
9184,453425,27.3
6747,375342,40.1
42114,405090,51.9
46126,401673,42.7
22324,449407,32.3
2265,368463,87.9
27403,334023,63.4
27183,478640,57.5
3139,284161,68.2
4989,279997,32.1
70719,460057,49.3
60615,409930,12.0
21304,343723,59.8
30220,501007,39.1
82620,296053,41.1
60667,480185,92.8
47272,294949,93.2
17803,356688,2.4
73349,482359,28.4
75937,425878,68.7
58288,390668,58.4
43963,317878,69.4
69175,342270,11.0
78177,344937,74.2
50586,432043,93.7
48269,276987,25.8
21532,317051,74.4
30784,388875,68.9
6466,423566,73.0
80180,457321,10.0
63545,278342,51.8
9283,290507,79.8
13627,300223,58.7
25513,493351,35.9
10998,529644,96.3
72547,378145,32.5
74168,455900,90.1
40301,469142,83.6
41595,286315,35.7
29778,282010,85.6
38790,407571,73.0
30979,341185,64.0
81827,418637,69.2
24683,327256,45.1
57351,307374,92.0
38440,369792,61.5
61682,412070,71.3
28346,291778,71.8
46077,470178,76.5
26615,410928,46.0
74468,317992,76.8
60662,422882,23.5
45069,310422,49.2
25641,454614,45.6
4075,312450,89.5
36938,357471,93.9
75309,307122,42.1
43691,516682,31.8
77759,351071,96.7
1958,365859,97.9
59878,370473,66.9
3971,353594,75.8
10665,336397,91.1
70810,374044,77.3
6806,482784,79.0
81946,337194,54.6
5330,353989,82.0
41229,496599,55.5
57868,384250,91.3
57149,493577,95.0
19321,330402,76.2
9959,337370,5.7
81618,333225,73.0
81465,295994,31.4
31963,308134,52.8
45527,303642,51.1
30538,391561,75.9
66390,286962,92.7
30999,452576,60.6
24164,426890,6.3
55656,313072,5.7
37953,402298,74.4
44830,444845,67.1
59930,320757,66.4
54040,275681,99.3
66213,283350,55.2
4667,407150,72.2
6871,318106,96.8
80926,297796,94.6
74904,485297,82.7
47256,429438,52.7
65639,423602,96.7
4461,367819,44.4
64429,413717,1.1
60726,483762,22.4
60269,442047,89.3
30782,289907,80.0
38301,451405,53.7
81467,280349,16.5
67497,496341,32.7
76749,437159,55.9
14040,464287,42.8
37080,418657,73.1
20460,445018,73.3
54408,446550,88.8
73243,436318,81.2
62472,459324,88.8
30488,404970,70.5
46023,300894,0.0
6875,433281,35.5
70952,324136,19.1
50357,337135,83.5
18111,404334,6.4
12271,475065,64.2
75368,383193,44.1
12460,333310,52.0
81930,450652,98.6
16205,449641,14.2
26404,367070,91.8
70192,514192,4.5
935,355103,73.1
61000,299088,56.0
33246,305808,36.0
63743,392810,72.1
4434,507114,93.1
33872,444683,69.0
80634,473830,78.0
68990,323969,44.7
1217,504007,45.4
64406,315018,85.9
47952,471972,60.5
2453,476740,69.3
25751,430020,65.6
34164,401425,67.8
81588,406807,40.1
59254,477968,2.6
63251,352159,91.9
22939,371915,56.9
20956,286542,65.0
80924,366756,30.5
77418,301839,66.7
24184,334224,49.0
26121,403803,13.0
45517,410749,84.1
50354,282760,83.5
58041,454426,10.9
37081,280078,83.1
48980,513673,35.5
28370,359346,92.3
24180,307174,94.1
3109,471748,92.3
51842,421628,12.9
28916,502281,74.0
40168,358448,93.7
82347,347056,81.3
74538,467412,72.5
29476,387988,40.4
37989,318513,21.4
60653,331670,72.0
22749,351638,90.8
70304,443025,97.4
38855,465191,72.3
46944,298953,67.9
3618,347220,87.8
20316,373981,16.7
20988,305170,19.9
80840,337576,63.0
12346,432544,33.8
22069,427060,93.1
10961,483776,65.1
80636,346793,9.2
34699,468263,57.3
41044,412333,22.2
81531,501353,53.3
63236,485010,70.8
50183,486468,51.0
32908,279601,11.6
12407,505705,98.5
41362,340955,66.2
18177,441332,63.8
34723,455969,38.2
76467,444504,95.6
32317,452703,68.2
11048,303294,20.2
66301,361819,81.1
56601,401515,57.9
6604,481048,71.3
8359,376071,34.8
75573,374999,76.4
83544,331997,79.3
31508,375302,54.0
4071,411548,73.6
14876,346236,69.4
69322,458003,29.0
70277,469218,70.8
76987,473693,71.1
24355,307434,94.6
29347,431994,18.8
24161,427475,90.3
20656,499552,13.5
82651,285149,92.1
79014,305534,83.9
36788,351947,67.2
79867,384875,94.3
6796,278179,70.7
68223,310978,48.9
75148,299779,84.2
23109,429572,67.8
65691,345509,42.2
34365,502939,37.5
47739,356351,35.7
67935,338966,62.9
26139,301867,74.9
53707,309970,21.9
27814,294936,49.9
73818,359632,88.1
75963,321054,33.9
80593,424798,4.0
66943,374601,99.6
3589,280946,69.4
34879,281032,89.0
43083,300826,55.9
38065,348750,89.4
47082,510334,97.8
83034,280663,75.4
54932,315283,72.8
24239,474837,43.0
32892,464114,72.5
78833,308359,88.4
43884,278170,49.4
44258,461701,66.8
24574,336920,51.2
6566,482219,32.0
65237,507441,79.0
27478,531398,71.5
42137,407828,93.2
46331,379513,72.3
75141,410028,62.5
38107,329804,56.4
62735,518221,60.6
10044,300279,27.4
60447,362607,49.4
63592,407287,12.4
81247,384010,63.3
78843,392687,21.8
62830,317049,2.8
28678,314534,5.9
4291,383669,77.2
76755,386713,52.8
32174,296455,29.5
50944,450735,74.4
19784,343675,50.2
21608,275952,69.1
62454,400385,61.0
1584,337867,98.7
40854,329480,87.8
80837,346622,62.6
30099,387599,0.6
34933,289416,82.7
549,402905,69.0
51109,476810,22.8
9676,419751,61.4
36535,334095,79.7
28451,408861,68.5
70329,386844,81.9
48054,367600,10.1
62820,445214,75.0
48444,393300,99.4
78188,352908,94.1
46594,348532,21.0
12953,320400,74.4
11009,278979,84.1
35907,299526,74.5
44534,321090,56.1
76773,398079,40.6
9090,325546,94.9
50043,322452,8.5
44353,283744,86.7
42583,506226,87.3
9761,302623,37.2
26424,354371,68.9
21503,351697,94.9
62377,460538,3.9
54456,363394,73.2
61169,458602,78.9
14989,299048,95.8
57369,372553,67.0
38952,359495,26.1
5877,399719,68.8
67590,467346,48.2
38120,355021,59.3
60554,413434,43.6
71413,469665,72.3
69364,450119,88.2
35447,325328,83.9
52322,354804,84.1
64121,476441,61.3
24230,315231,58.4
9996,429019,9.0
12524,335519,51.7
38685,324435,26.6
63400,386273,94.4
14559,358920,0.2
56493,291227,24.9
78119,482667,68.8
76211,397116,48.9
4467,414230,77.9
49873,504183,91.2
48702,280391,51.5
31264,495787,56.1
64382,397205,65.8
77302,390181,89.6
83702,321224,39.2
13020,286399,52.3
11801,411516,78.1
51446,371267,77.6
28868,341150,99.9
3669,379755,67.0
20034,309458,63.6
46782,380040,40.1
57758,296845,29.6
30918,303694,77.0
56560,344761,89.6
82512,338848,95.8
21283,437383,17.1
21472,464011,70.2
36510,316024,50.7
26480,326693,16.6
78432,374345,80.3
26638,307457,94.6
34034,387083,86.7
18265,346216,80.0
50848,278655,32.2
22618,417705,89.9
34727,456032,99.7
80254,375479,98.6
30012,293307,28.1
74450,367530,39.4
76004,503403,22.8
74996,412473,14.6
82415,467683,60.2
17347,378288,21.7
72728,299772,57.1
53586,355998,57.3
45629,515507,72.6
31066,305967,64.5
67815,275353,90.2
42497,406267,58.4
4521,333141,43.7
48793,388292,58.1
63530,420726,2.8
77664,308909,38.6
48545,425827,56.2
49210,370304,84.1
32751,291300,26.3
49492,392209,62.0
26596,393637,60.7
52488,334187,56.1
43957,318512,2.8
46682,404066,28.4
55378,401798,87.8
83176,390468,85.1
32767,411890,95.2
44853,375604,82.8
49643,499318,77.3
21104,467299,86.3
52558,453644,85.8
31011,432528,15.8
72663,285052,62.8
3372,353247,97.6
53373,515035,56.4
27350,389993,81.5
44480,450615,47.9
36749,386352,74.6
80802,405746,21.2
41264,363641,63.1
6445,472786,85.5
27364,280440,69.1
80032,402541,48.7
81015,382098,13.7
63570,323417,37.6
61330,284934,3.1
64423,374201,5.2
47367,387260,80.7
1769,405506,60.3
63468,281759,97.6
8365,471829,94.7
40895,327949,97.2
65318,505682,94.5
9345,365264,58.6
72296,486771,8.9
74094,366672,49.0
32416,290417,60.8
77781,487502,51.6
44547,318482,69.4
36705,320307,73.7
18309,316088,84.9
66592,430783,71.5
63319,379371,6.2
64923,496494,86.4
14674,397946,39.8
2325,379842,49.1
38212,431269,52.4
1065,435969,60.6
46221,363171,21.0
81793,317175,64.2
75817,318194,63.8
72564,312879,99.9
51661,394466,86.2
43718,322779,58.5
21008,347419,89.6
279,478546,19.1
54272,373107,70.2
12219,466159,36.0
81255,417607,82.2
80942,332987,64.2
52449,450701,66.8
13724,341712,89.6
77114,348380,74.9
53103,456535,43.5
77779,482200,62.9
75906,312287,91.2
73148,434708,61.3
35906,447455,32.9
59495,439795,44.0
73578,335716,90.7
9818,446717,11.2
17028,306176,82.8
52538,302646,77.2
37405,429611,79.5
57551,421023,46.4
29900,455597,3.2
41460,504720,99.6
17813,381764,70.6
48924,312069,76.3
33127,324430,87.7
69906,416413,26.0
51816,408612,26.7
68300,450084,22.0
37188,385757,68.7
29188,378392,63.3
40864,453102,82.6
40287,464674,55.4
21900,296992,47.3
2504,418526,5.4
47165,379998,82.2
79086,391544,38.6
63178,355067,69.8
65797,293493,93.3
56722,428526,62.0
55001,291565,96.9
20568,483545,21.7
40989,424708,64.6
30297,362732,3.7
56531,315198,31.4
41492,426929,38.1
53720,505518,84.8
54244,439203,73.7
62831,325235,0.4
190,385823,89.1
23105,400529,59.3
30992,476089,2.7
64473,460103,60.2
7061,469651,2.2
41712,377441,37.0
30130,374013,89.9
13898,329312,66.7
3642,495927,54.8
32563,451932,43.5
79690,380104,53.5
42917,458179,0.6
4586,376593,90.1
41331,350477,78.6
78411,344465,67.8
64078,471828,8.2
58913,325460,66.4
37326,397483,64.5
50338,374906,97.5
83365,465405,90.0
69795,324800,15.4
63616,477456,48.7
74315,358962,21.7
53858,395689,71.5
82093,326158,78.9
41709,411252,86.6
52385,377242,90.0
56581,284116,67.1
82432,336547,22.4
57161,290140,67.2
43503,400408,90.5
48506,314516,74.2
4990,303753,31.5
11968,302296,52.9
61931,438093,30.0
65656,458843,21.0
59434,334311,31.2
75505,322496,61.9
54375,286679,10.4
56738,428611,89.2
59603,315559,70.5
31814,278653,27.9
22420,303066,31.8
36735,276940,30.0
28319,428750,69.4
30867,307242,14.0
46274,375148,65.5
27216,295277,79.6
33025,300249,93.2
38325,324115,59.3
64826,401470,99.2
29247,279369,13.7
4497,348029,84.0
3653,468543,93.7
22008,345014,65.4
40497,414122,38.4
43466,401145,34.7
15040,337478,69.9
71489,423161,53.5
30517,502864,99.0
21255,307217,84.4
30528,339388,41.4
33606,294704,86.5
31483,369820,69.4
78309,457054,61.4
35253,466540,54.5
72271,277951,55.2
39569,343397,77.3
33002,350264,47.3
33628,394262,97.3
35895,352036,71.8
43902,295339,56.1
63730,427425,90.6
81444,489117,53.2
81404,325825,26.6
53332,335637,86.7
58957,454854,30.6
19836,424794,84.6
36997,408912,59.4
47306,349897,72.0
45272,283353,99.2
9571,298748,15.9
45184,288254,46.9
65433,421237,33.7
52799,475024,79.4
79383,345105,89.7
80407,365825,73.8
46045,283740,94.5
47372,407268,59.1
79962,444946,93.4
682,286468,88.9
64804,292706,88.0
34707,401860,47.8
38039,316485,3.8
83385,298827,98.0
38016,427603,16.8
39080,393502,10.8
7543,446537,53.8
51452,381528,13.5
5796,354833,60.0
71828,306720,89.4
65841,468255,92.7
47837,485481,10.8
39873,307406,21.0
83318,285945,71.3
71600,431398,3.9
72622,329131,99.6
71194,512584,66.5
45481,339903,14.5
11852,342346,90.4
57353,370031,74.5
23188,416329,86.0
74394,482943,48.8
1777,289300,48.6
40519,333857,33.4
68369,405890,79.1
65260,409310,71.5
40548,332330,88.8
56007,478209,97.5
37332,301216,32.5
46664,361625,84.3
12058,501493,92.3
65680,404341,93.6
47923,285790,73.6
13603,485109,86.2
14088,312583,98.5
64825,386782,97.1
38238,321644,30.7
22081,404590,3.0
76652,352853,68.7
35208,351490,75.8
62819,429991,82.2
70334,354694,90.7
70414,302785,86.0
49590,395338,27.2
67123,403671,73.0
24274,279018,95.4
14771,320344,40.4
50709,497784,99.5
61663,321271,65.0
29516,432793,92.5
3299,294169,58.6
27201,285512,57.8
10707,356020,99.3
9740,339947,51.3
39303,309930,18.4
48813,296903,30.0
72330,293602,44.7
9083,345955,93.3
70790,295100,67.2
63416,389761,96.0
13367,448567,52.3
77112,372625,72.8
56069,316896,75.4
77312,504709,82.1
82703,416396,78.4
26580,475533,52.2
10699,289615,84.6
11314,457758,92.7
37087,460576,71.9
9171,414199,51.7
45910,282748,64.1
38741,480723,63.4
81923,425648,70.9
11592,284466,74.1
4087,455867,17.5
36658,486593,25.9
49636,366778,78.0
83516,459996,65.5
20617,304256,52.9
38468,420132,37.2
39735,292756,79.1
45257,411513,55.1
11294,448473,37.5
34478,307953,48.0
31719,330843,46.4
29281,302339,25.2
15123,480258,27.1
21447,343907,38.0
65100,335652,74.1
39986,290151,52.6
39397,319410,6.2
48626,464048,72.9
83010,443878,86.0
77512,373516,95.6
18086,333403,9.3
40678,356361,53.9
64091,298795,62.0
49678,386687,90.8
29183,392229,34.3
14984,458961,46.9
20139,280878,6.0
63179,490031,88.8
43649,397186,48.9
936,359391,92.7
63683,517982,83.3
80060,380398,53.3
72604,318912,98.6
63962,504610,63.9
14699,319423,64.9
82404,377280,97.8
38309,368811,46.8
80792,407449,58.8
51579,485671,35.3
8879,421296,66.3
77670,307294,52.5
41130,328064,32.5
4870,340903,45.4
63537,334613,17.2
40683,388054,47.2
19523,499457,42.3
12988,468927,94.3
2707,323232,84.4
59504,311327,35.2
41896,324665,48.3
19817,397222,73.6
49097,342154,59.4
72924,328111,20.4
36272,359755,80.0
46811,400011,76.5
290,289559,38.1
18117,309304,30.2
45228,315052,94.2
61344,304430,27.0
74955,410069,56.8
11572,429895,97.2
26557,288230,55.1
13551,280239,95.1
45500,403594,26.4
67402,337753,44.3
70692,361428,94.1
9624,299573,43.1
3281,421323,95.6
48714,425059,48.7
72064,429096,49.6
38737,379762,77.7
24400,309979,37.1
70455,289556,60.8
17617,379320,85.7
20359,469390,98.0
51706,283351,52.8
83775,367912,14.1
8035,365636,54.9
72454,501018,77.5
26054,492437,8.2
42986,447927,0.1
71849,505083,86.5
11672,298308,87.0
11110,280881,100.0
63028,442822,80.6
62793,293948,79.3
82768,302772,70.8
69944,507375,83.8
53101,405545,21.6
10736,346053,83.3
29282,404676,19.9
69667,306369,41.5
27701,451410,57.5
26383,374327,63.7
58374,353596,46.4
46040,451426,38.1
78974,416234,92.7
77677,372794,40.8
51722,349545,61.0
50281,282725,85.1
80245,319912,52.0
29485,344813,68.9
25728,422490,71.4
62967,442520,41.1
10283,370026,93.6
69212,394142,14.5
11666,365016,86.5
66745,480199,70.4
4943,407468,79.2
79841,326568,36.0
18481,419797,66.3
36684,296711,50.6
24700,302462,12.8
44424,385714,42.6
12722,375584,57.0
56482,291493,52.3
25517,344468,46.7
17274,501601,32.0
61252,309187,84.5
79785,514337,89.3
28894,391149,0.2
80303,347599,33.0
66347,461848,98.4
81355,332539,36.1
309,468112,15.0
37877,412433,65.5
42421,427061,75.0
35565,401892,18.6
63409,307807,77.5
42193,508779,15.4
73136,402059,40.6
6249,357270,73.5
67016,417788,71.4
3533,287499,81.7
76350,282722,85.2
59924,316360,5.8
48179,518407,21.0
22915,373005,83.5
29834,423367,87.8
8219,324328,51.7
70163,280382,36.1
37682,343914,81.5
20213,422459,92.7
27659,394135,69.7
241,286484,72.9
652,472184,45.4
4793,441514,85.2
19445,312224,26.3
81014,349886,52.9
40998,430981,23.4
30828,393214,88.5
533,280875,54.1
68731,369644,60.0
33049,311292,80.2
6936,447975,71.9
27737,391573,54.1
33020,430041,49.3
58903,363125,57.9
41927,303717,97.0
80080,379792,61.9
56143,456769,73.8
76118,299451,68.3
36323,465997,7.4
82008,353209,40.9
81475,316155,96.6
44419,495014,91.7
304,457730,87.0
45399,364622,54.0
76369,494206,67.6
31955,346547,65.3
82734,453639,87.8
44738,397328,65.7
56848,335294,46.2
5516,405693,78.1
46056,418347,85.8
23036,503810,99.7
23420,384195,91.2
27923,404185,72.4
27584,369325,71.4
67610,385354,79.1
81327,493606,72.9
72497,324071,70.5
27451,380360,70.2
73198,347172,69.0
48669,435312,76.4
72861,318881,48.4
3771,419088,94.3
20621,482166,42.1
14131,329624,56.1
54695,475311,84.4
